,title,category,contents
0,우가리트,기타 셈계 국가시리아의 유적시리아의 역사,"우가리트는 현 시리아 라타키아 주의 지중해 연안에 위치한 고대 도시이다. 라스 샴라(رأس شمرة)라고도 부르며 아모리인이 건설한 도시이다.[1]기원전 6000년경부터 사람들이 살기 시작했으며 기원전 1800년~기원전 1200년경에 번성했다. 고대의 항구 도시인 우가리트는 고대 이집트에 조공했고 키프로스와 교역했으며 미케네와도 협력해 키프리오트 도자기가 그곳에서 발굴되기도 했다. 정부의 조직체가 기원전 1450년경부터 기원전 1200년경까지 지속되었다고 한다.엘과 아세라, 바알을 숭상했고 흔히들 알려진 엘과 바알의 신화 이야기는 우가리트의 신화다. 우가리트 신화에 나오는 최고 신인 엘이 바로 야훼이다. 다만 우가리트어는 아모리어와 비슷하고 페니키아나 히브리어와는 약간 달라서 우가리트에서는 엘을 일(il)이라 부르고 아세라를 아트르트(aṯrt)라 불렀다고 한다. 우가리트에서는 설형 문자를 사용했는데 아브자드 형태였다. 우가리트 유적에서 기원전 1400년경에 만들어진 것으로 추정되는 음악에 관한 석판이 발견되었는데, 아마 달의 신의 부인인 니칼에게 바치는 찬미가로 추정된다.기원전 12세기경, 바다 민족의 침략으로 멸망한 것으로 추정된다."
1,매직 더 개더링,매직 더 개더링,미국의 트레이딩 카드 게임.
2,서울고속버스터미널/운행노선,서울특별시의 버스 터미널고속버스 서울경부,"서울고속버스터미널에서 출발하는 버스 노선들을 정리한 문서다.공식적으로 서울고속버스터미널에서는 경부선, 영동선 방면 버스만을 탈 수 있다.[1] 하지만 양 터미널의 전산망이 코버스로 통합된 후 2017년 07월 01일을 기점으로 안동(영덕), 영주, 예천(경상북도청 경유) 노선이 경부선으로 이전했고 1달 뒤인 8월부턴 춘천, 홍천, 철원 노선이, 3달 뒤인 11월에는 영월 노선이 이 터미널로 이전했다.[2] 호남선 및 기타 방면 버스가 출발하는 건물은 바로 옆 건물에 따로 있으며, 이쪽은 반대로 최신 시설을 가지고 있다. 그렇다고 서울고속버스터미널이 형편없다는 뜻은 아니다. 일단 센트럴시티의 경우엔 30년 가까이 가건물 신세였고, 게다가 지금 2018년 기준으로 서울고속버스터미널 역시 내부 리모델링을 완료하여 최신 시설을 가지게 되었으니까...흔히 경부선, 영동선을 운행하는 터미널로 알려져 있으나, 목적지가 영남, 영동 지역만 있는 것은 아니며, 충청도의 여러 곳 또한 운행하고 있다.[3] 단, 대전광역시 유성행은 옆의 서울호남선터미널에서 출발하니 유의. 그리고, 충주행은 노선 계통상 서울고속버스터미널(서울경부) 착발이 타당한데도 옆의 서울호남(센트럴)에서 착발한다.호남선 터미널의 경우 센트럴시티 내부에 있어서 터미널만을 센트럴시티라 하는 경우가 있으나, 센트럴시티 자체가 그곳에 있는 모든 시설물을 묶어서 얘기하는 것이기 때문에 사실상 고속버스터미널로 봐야 맞다. 실제 안내 표기도 호남선이라 하고 있다."
3,Akon,Akon,미국의 R&B 뮤지션. 1973년 4월 16일 미국 미주리 세인트루이스 출신 세네갈계 미국인이다.[2] 풀네임은 Aliaune Damala Badara Thiam.또는 Aliaune Damala Bouga Time Bongo Puru Nacka Lu Lu Lu Badara Akon Thiam.(...)[3]
4,이상 저온/대한민국/21세기,이상 저온대한민국의 재난,대한민국의 21세기 이상 저온을 정리한 문서.
5,유벤투스 FC/2019-20 시즌/리그,유벤투스 FC/2019-20 시즌,유벤투스 FC의 2019-20 시즌 중 세리에 A에서의 활동을 기록한 문서이다.상위 문서인 유벤투스 FC/2019-20 시즌 문서의 방대함을 방지하기 위해 별도로 분리되었다.문서의 모든 날짜는 대한민국 표준시(UTC+9)를 기준으로 명시한다.
6,신성 로마 제국,신성 로마 제국,"962년부터 1806년까지 서유럽과 중유럽에 존속했던 제국.한때 카롤루스 대제에 의해 프랑크 왕국에 복속되었었던 게르마니아의 튜튼 부족들과 라인-도나우 유역의 옛 로마인들이 카롤링거 왕조의 영토 분할 상속과 후계 단절로 인한 정치적 혼란을 틈타 프랑크족의 정치적 영향력으로부터 분리되어 결성한 국가다. 많은 영토의 변동을 겪었지만 오늘날 중부 유럽으로 분류되는 지역의 서쪽 대부분(독일-오스트리아)만큼은 계속해서 영토로 유지하며 962년부터 1806년까지 존속했다.[9]아예 완전히 새로 건국된 국가였던 것은 아니다. 동프랑크 왕국에서 카롤링거 왕조의 후사가 완전히 끊기고 튜튼인에게 왕위가 넘어가면서 부족 공국 기반의 튜튼 왕국이 결성되었고 그 튜튼 왕국에 튜튼인들이 정복한 옛 로마 제국의 북방 도시권이 결합하면서 최종적으로 튜튼인의 왕을 겸하는 로마인의 왕이 로마의 이름으로 보편 제국의 황제로서 군림하는 '재건 로마제국'이 선포된 것이다.이후 튜튼인과 북방 로마인은 상호동화를 통해 독일인이 되었는데 이탈리아, 프로방스, 플랑드르, 보헤미아, 프러시아 등의 외부 제국 영토의 획득이나 상실로 인한 구성민족의 세부 변화나 드라마틱했던 대외영향력 및 황제권의 흥망성쇠와 별개로, 꾸준히 정치적 주도권을 행사하는 것은 결국 독일인들이었으므로, 서프랑크 왕국을 그대로 계승한 프랑스와 명백히 정체성이 분리되는 국가 독일의 전신이자 역사적 독일의 시작으로 간주된다.[10]지금이야 '신성하지도 않고 로마도 아니며 제국도 아니다'라는 볼테르의 조롱만이 너무 유명해졌지만 당시에는 고대 로마 제국의 뒤를 이은 정통 보편 제국이라는 인식을 갖고 있었다.[11] 당시에는 '제국의 계승(Translatio imperii)'이라고 해서 기존의 제국이 쇠락하면 새로운 제국이 등장해 그 대를 잇는다는 사상이 있었다. 로마 제국이 몰락하고 들어선 새로운 제국으로 여겨졌던 것이다. 황제의 서열은 가톨릭 세계의 모든 국왕들보다 높았고 그 권위는 무시하기 어려웠다.[12]"
7,채준혁,1998년 출생수원시 출신 인물평강 채씨F4Q프로게이머/오버워치프로게이머/발로란트프로게이머 출신 치지직 스트리머대한민국의 남성 유튜버삼일공업고등학교 출신카론 크리에이티브/소속 크리에이터게임 플레이 유튜버T1/발로란트T1/소속 크리에이터,"대한민국의 前 오버워치, 발로란트 프로게이머, 現 인터넷 방송인."
8,비트코인,비트코인,We define an electronic coin as a chain of digital signatures. Each owner transfers the coin to the next by digitally signing a hash of the previous transaction and the public key of the next owner and adding these to the end of the coin. A payee can verify the signatures to verify the chain of ownership.우리는 전자 화폐를 디지털 서명의 체인으로 정의합니다. 코인 소유자는 이전 거래 내역과 다음 소유자의 공개 키와의 해쉬 값을 코인 맨 뒤에 붙입니다. 돈을 받은 사람은 앞 사람이 유효한 소유자였다는 것을 확인할 수 있습니다.- 사토시 나카모토 (비트코인 개발자)2009년에 발행된 P2P 기반의 암호화폐. ‘비트코인’ 이라는 명칭은 컴퓨터의 단위를 뜻하는 비트(Bit)와 화폐를 뜻하는 코인(Coin)에서 유래되었다.
9,잔도,교량,"중국 산시성 화산(華山/华山)의 잔도棧道/Plank road험한 벼랑 같은 곳에 낸 길. 선반처럼 달아서 낸다. 각도(閣道), 잔각(棧閣)이라고도 부른다. 편하게 벼랑길이라고도 부른다.가장 유명한 잔도는 중국의 촉 지방에 있는 잔도지만, 세계 각지에도 비슷한 종류의 잔도가 많다.잔도에 관한 역사적 일화로는 자치통감이나 초한지에 나오는'유방이 파촉으로 들어가며 잔도를 불태우다'는 고사가 있다. 중국 진나라 말기 초한전쟁 시대에 초나라 패왕 항우가 천하를 거의 제패한 후, 한나라 유방의 세력을 견제하기 위하여 한중을 포함한 촉 지방을 영지로 주고 한중왕으로 임명한다. 하지만 항우는 유방이 중원으로 다시 나와 자신에게 대항할 지도 모른다는 의심을 한다. 그래서 당시 책사였던 장량은 이런 의심을 풀면서 안전도 도모하자며 잔도를 태울 것을 조언했고, 이에 유방은 파촉에 들어간 직후 파촉과 중원을 연결하는 잔도를 태워버린다.역사책이나 역사 소설에서 잔도를 태우는 것은 퇴로를 차단해서 배수진을 치고 사생결단의 승부를 결심하는 것을 보여주는 것이다. 카이사르의 주사위는 던져졌다는 것과 마찬가지.삼국지 촉나라 장수이던 위연이 조정에서 위험 분자로 찍혀 비참한 최후를 맞은 이유 중 하나가 위연이 잔도를 태워서 촉군 본대의 퇴로를 끊어버려서다. 애초에 제갈량의 최후 명령을 무시하고 이탈했을 때부터 곱게 끝나는 건 물 건너간 판국에 팀킬까지 저질렀으니 그 말로는 뻔한 노릇이다."
10,보두앵 5세,예루살렘 국왕알레라미치 가문1177년 출생1186년 사망예루살렘 출신 인물,예루살렘 왕국의 제8대 국왕이다.
11,데스퍼펫,듀얼마스터즈듀얼마스터즈 플레이스듀얼마스터즈/크리처듀얼마스터즈/어둠 문명듀얼마스터즈/종족듀얼마스터즈/종족/데스퍼펫,듀얼마스터즈 카드의 종족.
12,오대영 라이브,JTBC 뉴스,"단도직입적으로 묻겠습니다평일 오후 5시 30분에 방송하는 JTBC의 정통 정치 뉴스쇼 프로그램.JTBC 뉴스룸의 앵커 출신인 오대영 기자의 이름을 건 프로그램으로, 앵커가 프로그램 CP 역할까지 겸한다.[1]"
13,Plague Inc./업적,Plague Inc.업적 시스템,Plague Inc.의 업적 일람. 당연하겠지만 치트를 사용하면 업적달성이 되지 않으니 주의.[1]
14,제약해제결전,블루 아카이브,"총력전과 대결전을 이은 블루 아카이브의 세 번째 개인 레이드 컨텐츠. 2024년 3월 24일, 블루아카 라이브!를 통해 최초 공개되었으며 나흘 뒤 3월 28일 일본 서버에서 최초 개최되었다. 프라나가 로비를 담당하기 때문에 최초 입장시 최종편 스포일러 경고가 나온다."
15,채령(달의 연인 - 보보경심 려),달의 연인 - 보보경심 려/등장인물한국 드라마 캐릭터,"한 번 품은 마음을 결코 버릴 순 없었다.드라마 달의 연인 - 보보경심 려의 등장인물. 해수의 친구이자 시녀로, 원작에서 약희의 몸종이던 '교혜'와 9황자와 연관이 있던 '옥단'이 합쳐진 인물."
16,꼬리에 꼬리를 무는 그날 이야기,꼬리에 꼬리를 무는 그날 이야기 시리즈,"'그날' 이야기를 들은'오늘' 당신의 생각은?대한민국의 지상파 방송국 SBS에서 방영하는 시사교양 프로그램이다. 처음에는 SBS 스페셜에서 파일럿 프로그램으로 3회 나왔고, 반응이 좋아 정식 편성되어 단기 시즌제로 2시즌(1기 10회, 2기 20회+스페셜 1회)을 방영했으며, 지속적인 호응으로 마침내 정규 편성되어 무기한 방영되는 고정 프로그램이 되었다. 이전까지는 영화감독 장항준이 이야기꾼으로 출연했으나, 정규 프로그램이 되면서 기존 장트리오에서 장항준을 대신하여[5] 이야기 친구로 자주 얼굴을 비추었던 배우 장현성이 새롭게 합류했다.[6] 이쪽도 장씨라 이야기꾼이 '장트리오'라는 데에는 변함이 없는데, 세 명 모두 본관이 다른 것도 흥미거리.[7] 장 씨로 구성한 건 의도한 건 아니라고 주장한다. 다만, 장항준 이후에 장현성을 캐스팅할 때도 그랬는지에 대한 언급은 없다.방송적인 특징은 이야기를 해주는 장트리오와 매주 바뀌는 이야기 친구가 각자 고정된 장소에서 간단한 다과를 놔두고 이야기를 들려주는 형식이다.주로 배경이 되는 소재는 한국 근·현대사 부분으로 대개는 군사정권, 일제강점기 시절 각종 사건 사고지만, 범죄 사건이 주제인 경우에는 1990년대~2010년대 초반의 사건도 꽤 나온다. 대부분 옛날 정권을 비판하는 사건들이 많이 올라온다. 그래서 언급할 건수가 많은 5.18 민주화운동, 형제복지원, 삼청교육대, 3.15 부정선거, 박종철 고문치사 사건, 전태일 열사 등 대중적으로 유명한 소재들도 굉장히 많이 나온다.[8][9][10]"
17,SC Evo Complete,스타크래프트 2/유즈맵MOD,팀 코프룰루에서 제작한 스타크래프트 2의 섬멸전 확장 모드. 
18,데스퍼펫,듀얼마스터즈듀얼마스터즈 플레이스듀얼마스터즈/크리처듀얼마스터즈/어둠 문명듀얼마스터즈/종족듀얼마스터즈/종족/데스퍼펫,듀얼마스터즈 카드의 종족.
19,Cosmo : the Gate,tripleSARTMS애플리케이션NFT,tripleS COSMO 설명서Acid Angel from Asia.SSSMODHAUS가 개발한 엔터테인먼트 플랫폼.
20,차티스트 운동,1830년대 사건사고1840년대 사건사고사회 운동급진주의19세기 시위빅토리아 시대노동운동근대화민주화 운동,"Chartism, Chartist Movement차티스트들 사이에서도 쓰였다고 알려진 영국 공화주의 기. 1816년 스파 필즈 폭동에서 처음 사용되었다.Fraternity - Liberty - Humanity연대, 자유, 인류애1830년대 차티스트 운동의 슬로건. 영감을 어디에서 받았는지가 분명히 드러난다.1838년부터 1840년대 후반까지 보통선거를 바탕으로 한 의회민주주의의 실시를 요구하며 영국에서 벌어졌던 최초의 노동자 운동. 1850년대 전반까지 영국 사회에 깊은 영향을 끼쳤으며 민주주의의 중요한 원칙을 제시하였다는 의의가 있다. 차티즘, 차티스트라는 명칭은 노동자들이 제기한 인민 헌장(People's Charter)에서 유래했는데 이는 1838년 차티스트 운동의 요구를 구체화한 문서를 말한다. 보통선거와 비밀선거, 선거구 평등화, 의회 매년 소집, 하원의원 유급제, 재산에 따른 피선거권 자격제한 폐지와 같은 내용으로 이루어져 있다. 지금 보면 지극히 당연한 내용들이지만 당시 주요 지배층에게는 충격과 공포에 가까운 급진적인 내용들이다.시기적으로 다른 유럽 국가들에서는 공화주의 혁명이 한창일 때 다른 공화주의 혁명에서 영감을 받은 기와 슬로건이 사용된 만큼 공화주의 운동으로 착각될 법도 하며 실제로 많은 영국의 공화주의자들도 차티스트 운동에 참여하였으나 차티스트 운동의 주류 의견 자체는 위와 같은 개혁들이었지 왕정 폐지와 같은 급진적인 주장들을 하는 이들은 소수였다."
21,블랙(OCN),2017년 드라마OCN 주말 드라마다크 판타지 드라마어반 판타지 드라마호러 드라마미스터리 드라마스릴러 드라마오컬트 드라마18부작 드라마넷플릭스 동시 방영 드라마,누구나 부러워하는 인생을 사는 여성이 잃어버렸던 과거의 기억을 회복하면서 자신의 운명을 멋대로 조작한 세력을 응징하기 위해 펼치는 복수극2017년 10월 14일부터 동년 12월 10일까지 〈구해줘〉의 후속으로 방송된 OCN 오리지널 시리즈.
22,빅게임스튜디오,한국의 게임 제작사2020년 설립,홈페이지2020년에 설립된 한국의 게임 제작사로 일곱 개의 대죄: GRAND CROSS를 개발했던 최재영 대표와 핵심 개발 멤버들이 창립한 회사이다. 서울특별시 강남구 역삼동에 위치하고 있다.고퀄리티의 재패니메이션 스타일의 3D 애니메이션 기술력과 스토리텔링을 내세우고 있으며 설립 초기부터 그 기술력을 인정받아 펄어비스에게 30억 투자 유치를 받기도 했다. 다만 블랙 클로버 모바일의 매출은 부진한 상황.블랙 클로버 모바일의 실패를 만회하고자 자체 개발 IP인 브레이커스: 언락 더 월드 개발에 박차를 가하고 있다. 블랙 클로버 모바일의 실패를 반면교사로 삼기 위해 위해 일본에 지사를 세우는 등 개발자와 유저의 소통 강화에 매진하는 모습을 보이고 있다.2024년 KADOKAWA에게 브레이커스: 언락 더 월드 200억 원 투자 유치에 성공했다.
23,비트마켓,금융투자회사미국의 기업암호화폐 거래소,"비트마켓은 BFT 전략가치를 선물거래, 현물거래 등 금융 서비스와 결합해 단순한 거래소 기능이 아닌, 전 세계 국가와 유저들이 편하고 안전하게 자신들이 선호하는 모든 암호화폐를 효율적으로 거래할 수 있도록 지속적인 블록체인 기반 통합 거래 서비스를 제공할것으로 전했다."
24,데스퍼펫,듀얼마스터즈듀얼마스터즈 플레이스듀얼마스터즈/크리처듀얼마스터즈/어둠 문명듀얼마스터즈/종족듀얼마스터즈/종족/데스퍼펫,듀얼마스터즈 카드의 종족.
25,Battle for Dream Island/기타 미참가자,BFDI/캐릭터,미국 애니메이션 Battle for Dream Island의 등장 캐릭터들
26,더크로스처치,대한민국의 침례교회,"경기도 성남시 분당구에 위치한 신사도 운동 성향의 침례교회이다강원도 평창, 울산광역시, 부산광역시 등에 지교회를 운영중이며 모두 더크로스처치 라는 이름을 사용하고 있다. 또한 미국 캔자스시티 IHOP 국제 기도의 집(International House of Prayer)의 영향을 받아 KHOP(Korea House Of Prayer) 한국 기도의 집을 운영 하고 있다."
27,복수귀/창작물,클리셰창작물복수물,"""작품명 - 복수귀 속성의 인물 → 복수의 대상"" 순서로 작성. 서로가 복수의 대상이면 ↔.복수의 대상을 착각하는 경우 †로 표기.복수의 대상이 변경된 경우 ⇒로 표기.복수를 위해 인간을 관둔 존재들은 ≠ 표시.복수를 하다 다크 히어로나 영웅이 된 존재는 ✩ 표시.복수를 하다 안티히어로나 결과는 좋았다가 된 사례는 ★ 표시.복수를 그만 둔 경우 또는 실패한 경우 Ⅹ 표시.복수를 마쳤으며 잘 사는 경우는 ♬ 표시.전혀 엉뚱한 사람이나 단체를 복수의 대상으로 찍고 죄 없는 쪽에다가 화풀이하는 경우는 ㉥ 표시.작품의 장르 자체가 복수물일 경우는 작품명을, 주인공이 복수귀일 경우에는 복수귀 속성의 인물을 볼드체로 강조."
28,프리 데라호야,베이블레이드 버스트 갓/등장인물베이블레이드 버스트 초제트/등장인물베이블레이드 버스트 슈퍼킹/등장인물베이블레이드 버스트 다이너마이트 배틀/등장인물,베이블레이드 버스트 갓부터 출연한 주역 등장인물. 
29,No.93 유토피아 카이저,유희왕/OCG/전사족유희왕/OCG/엑시즈 소환No.,유희왕의 엑시즈 몬스터 카드.
30,DDT,살충제독,"다이클로로다이페닐트라이클로로에테인(Dichlorodiphenyltrichloroethane, DDT)화학식은 C14H9Cl5. 가장 유명한 살충제 중 하나이다. 무색, 무미, 무취의 결정형 유기염소계 화합물로 물에 잘 안 녹고 유기용매에 잘 녹는 소수성을 띤다.DDT는 자연상에서는 존재하지 않는 인공 합성물질로 클로로벤젠(C6H5Cl)과 클로랄(C2HCl3O)을 황산 촉매 반응을 통해 합성한다. 이 과정에서 발생하는 대사물질(Metabolite)로는 DDD(Dichlorodiphenyldichloroethane), DDE(Dichlorodiphenyldichloroethylene) 등이 있다."
31,노퍽 머리 없는 시신 사건,영국의 미제 살인사건1974년 범죄신원 불명의 범죄 피해자,"Norfolk headless body1974년 8월 27일, 영국 노퍽에서 머리없는 시신이 발견되었다. 처음에는 그 시신의 신원을 찾기 위해 노력했지만, 결국 피해자 신원을 파악하지 못하며 미제사건이 되었다."
32,지금 우리 학교는,웹툰/목록2009년 웹툰네이버 웹툰/완결좀비 만화호러 웹툰스릴러 웹툰학원액션 웹툰주동근고어,한국의 호러 웹툰. 작가는 주동근. 줄여서 ‘지우학'이라고도 불린다.
33,정보위원회,대한민국 국회 상임위원회 및 특별위원회,대한민국 국회의 상임위원회.제21대 국회 후반기 위원장은 현재 국민의힘 박덕흠 의원이다.
34,복수귀/창작물,클리셰창작물복수물,"""작품명 - 복수귀 속성의 인물 → 복수의 대상"" 순서로 작성. 서로가 복수의 대상이면 ↔.복수의 대상을 착각하는 경우 †로 표기.복수의 대상이 변경된 경우 ⇒로 표기.복수를 위해 인간을 관둔 존재들은 ≠ 표시.복수를 하다 다크 히어로나 영웅이 된 존재는 ✩ 표시.복수를 하다 안티히어로나 결과는 좋았다가 된 사례는 ★ 표시.복수를 그만 둔 경우 또는 실패한 경우 Ⅹ 표시.복수를 마쳤으며 잘 사는 경우는 ♬ 표시.전혀 엉뚱한 사람이나 단체를 복수의 대상으로 찍고 죄 없는 쪽에다가 화풀이하는 경우는 ㉥ 표시.작품의 장르 자체가 복수물일 경우는 작품명을, 주인공이 복수귀일 경우에는 복수귀 속성의 인물을 볼드체로 강조."
35,HAUS,tripleS,"tripleS의 숙소를 부르는 이름으로, 독일어로 집이라는 뜻이다.[1] 공지사항이 있거나 새로운 S가 입주할 때, AI 비서같은 목소리의 'SUAH'[2]가 등장한다.[3]다른 아이돌들의 숙소와 달리 'HAUS'는 tripleS 콘텐츠의 일부로, 공간 및 인원의 재배치가 잦은 편이고[4] 이를 통해 S들 간의 새로운 케미나 유닛 구성에 지대한 영향을 미치고 있다."
36,제12보병사단 훈련병 사망 사건,2024년/사건사고인제군의 사건사고대한민국 육군/사건 사고제12보병사단,2024년 5월 23일 강원특별자치도 인제군에 위치한 대한민국 육군 제12보병사단 신병교육대에서 21세 훈련병 1명이 군기훈련을 받다가 쓰러져 이틀 뒤인 5월 25일 순직한 사고이다. 현재 사인과 사건 경위를 조사 중이다.
37,백종원의 골목식당/뚝섬 골목,에피소드 가이드백종원의 골목식당성동구,"골목식당의 5번째 솔루션은 서울시 성동구 성수동1가 '뚝섬 골목'에서 펼쳐진다. 골목식당 인스타그램을 통해 테이와 배윤경이 지원군으로 참가함을 밝혔다. 이번 편이 펼쳐질 뚝섬 골목은 서울 지하철 2호선 뚝섬역과 서울숲이 있어 서울의 유일한 '숲세권'이라고 불리는 곳이자 창업 플레이스이며, 성동구에서 젠트리피케이션 방지를 위해 프렌차이즈 업체의 입점을 제한하는 골목상권 보호 특구이기도 하다. 또한 이번 편은 직접 제보를 통해 백 대표의 도움을 자발적으로 요청한 최초의 사례이다. 특히 이번 편 솔루션에 참가한 가게 모두 장사 경력이 1년이나 갓 되었거나 넘지 않는 식당들이라 21회에서 다른 편과는 달리 더 엄격하게 할 예정이라고 백 대표가 밝혔다. 그래서 이번 편은 바로 현장점검부터 시작했다.지금까지 호된 비판을 받던 가게들도 식재료 관리와 위생면에서 문제가 있는 곳은 없었지만, 이번에는 식품 위생에서부터 문제가 생겼다. 4곳 모두 재료관리부터 엉망이다. 한 가지 알아야 할 것은 실제로도 이런 무지막지해보이는 음식점 사장들이 지천이라는 것이다. 한 골목에 비슷한 유형의 문제점을 가진 식당이 네곳이나 있다는 것은 결코 우연이 아니다.[1][2]  방송후에도 일부 참가자들이 조작을 주장하는 등 골목식당 출연 골목 중 가장 안좋게 결말이 난 골목이다.이번 에피소드가 나오는 시기가 한창 2018 FIFA 월드컵 러시아가  진행 중이었기에 몇 차례 결방하기도 했다."
38,이윤영(배우),한국 남배우한국의 뮤지컬 배우뮤지컬 남배우대한민국의 무용가발레리노상명대학교 출신1997년 출생2023년 데뷔,대한민국의 뮤지컬 배우 겸 발레 무용가.
39,오버로드(소설)/클래스,오버로드(소설),오버로드(소설)의 클레스이며 직업으로도 부른다.
40,앤드류 모나스테리오,베네수엘라의 야구 선수1997년 출생2023년 데뷔카라카스 출신 인물내야수우투우타밀워키 브루어스/현역,밀워키 브루어스 소속 내야수.
41,바이오하자드 RE:4/무기 및 장비,바이오하자드 시리즈/무기,DLC를 포함한 모든 무기 소개 영상바이오하자드 RE:4에 등장하는 무기를 정리한 문서. 
42,흑기사(에버소울),에버소울/등장인물,"이제 곧... 진정한 주인께서 오신다...《에버소울》의 등장 주요 악역. 정령 릴리트와 함께 메인 스토리 1부에서 사실상의 중간 보스.PV & 공식 일러스트 & 스페셜 프로그램 등에서 처음부터 공개되었으며, 주인공 구원자와 대결을 벌인 정체불명의 흑기사. "
43,시그마(록맨 X 시리즈),이레귤러 헌터레드 얼럿,록맨 X 시리즈의 등장인물 및 메인 빌런임과 동시에 시리즈 전통의 최종 보스. 그리고 죽여도 또 돌아오는 불사신이자 사망전대. 언제나 다시 나올 때마다 각양각색의 형태로 등장한다.(BGM 모음집)
