,title,category,contents
44,TISSOT,스와치 그룹스위스의 시계 제조사1853년 기업,"티쏘(TISSOT)는 스위스의 시계 브랜드로, 스와치 그룹에 소속되어 있다.MIDO, HAMILTON, Certina와 함께 스와치 그룹 내 Middle Range에 속해 있으며[1] 대표적인 시계 분야의 매스티지 브랜드로, 가격 대비 뛰어난 성능과 마감으로 한국에서도 인지도가 높아 인기가 좋은 스위스 시계 입문 브랜드로 꼽힌다. 또한 태그호이어 못지않게 NBA를 비롯한 수많은 스포츠 이벤트에서 공식 타임키퍼로 활약[2], 대중에게 친숙한 브랜드이기도 하다."
45,퀄컴 스냅드래곤/8 시리즈,퀄컴 스냅드래곤,2013년부터 운영한 퀄컴의 모바일 AP 브랜드인 퀄컴 스냅드래곤의 플래그십 라인업이다.
46,배서우(성우),한국 여성 성우2024년 데뷔,대한민국의 성우.
47,올리버 던,미국의 야구 선수1997년 출생2024년 데뷔솔트레이크 시티 출신 인물유타 대학교 출신내야수우투좌타밀워키 브루어스/현역,밀워키 브루어스 소속 내야수.
48,Grand Theft Auto: Vice City Stories/무기 및 장비,Grand Theft Auto: Vice City StoriesGrand Theft Auto 시리즈/무기 및 장비,GTA: 바이스 시티 스토리즈에 등장하는 무기 및 장비를 정리한 문서.
49,카와노,성씨/일본,"かわの. 일본의 성씨. 한자로는 河野[1], 川野 등이 쓰인다."
50,요나단 페라자,베네수엘라의 야구 선수외국인 선수(야구)1998년 출생2024년 데뷔메리다 주 출신 인물외야수우투양타스위치 히터한화 이글스/현역,한화 이글스 소속 외야수.
51,정치철학,철학의 하위 학문정치학,"政治哲學 / Political Philosophy정부, 시민, 국가, 법 등에 대한 물음을 다루는 정치학의 분과 학문. 그 겉모습을 다루기보다는 일반적이고 근원적인 물음에 대한 답을 추구하는데, 정치철학에서 탐구하는 대표적인 물음들은 다음과 같다.권력의 본질은 무엇인가?시민은 왜 국가에 복종해야 하는가? ↔ 정부는 시민 위에 군림할 수 있는 것인가?과연 국가란 필요한 것인가? ↔ 국가가 없어도 시민이 존재할 수 있는가?자유란 무엇인가? ↔ 시민이 누릴 수 있는 자유의 한계는 어디까지인가?평등이란 무엇인가? ↔ 과연 평등은 바람직한 것인가?"
52,성 정체성,성,"성별 정체성이란 각 개인이 깊이 느끼고 있는 내적이고 개인적인 젠더의 경험으로, 이 경험은 태어나면서부터 결정된 성과 일치할 수도 그렇지 않을 수도 있으며, 신체에 대한 개인적인 의식(내과적, 외과적 혹은 기타의 방법으로 신체의 외형이나 기능을 변형하는 것도, 자유로이 선택된 것이라면 포함할 수 있다)이나, 의상, 말투, 버릇 등 기타의 젠더 표현을 포함한다.- 욕야카르타 원칙性 正體性 / Gender identity성 정체성은 자신이 어떤 성인지 인식하는 감각이다. 유전자, 태내 호르몬 농도, 생후 환경의 영향을 받는다. 성을 결정하는 세 가지 요인(성 주체성, 성 정체성, 성 지향성) 중 하나다. 네이버캐스트사회에 따라 취향에 따라 바꿀 수 없는 성적 지향성처럼 성 정체성은 바뀌라 해도 쉽게 바뀌지 않는다. 그렇기에 많은 걸 잃을 수 있는 성전환수술을 선택하는 사람이 있는 것이다.아주 옛날부터 지정성별이 남자로 태어났으면 성 정체성도 남자, 여자로 태어났으면 성 정체성도 여자라는 풍조가 동서양 할 것 없이[1] 강했기 때문에 남자는 남성성을 반드시 얻게 될 것이고 여자는 여성성을 반드시 얻게 될 것이라는 사회적 의식이 있었으나, 20세기 후반부터 자신의 성 정체성을 자연스럽게 드러낼 수 있게 되면서 옛날부터 있었던 일관된 성 정체성에 어느 정도 변화가 있게 되었다. "
53,빅게임스튜디오,한국의 게임 제작사2020년 설립,홈페이지2020년에 설립된 한국의 게임 제작사로 일곱 개의 대죄: GRAND CROSS를 개발했던 최재영 대표와 핵심 개발 멤버들이 창립한 회사이다. 서울특별시 강남구 역삼동에 위치하고 있다.고퀄리티의 재패니메이션 스타일의 3D 애니메이션 기술력과 스토리텔링을 내세우고 있으며 설립 초기부터 그 기술력을 인정받아 펄어비스에게 30억 투자 유치를 받기도 했다. 다만 블랙 클로버 모바일의 매출은 부진한 상황.블랙 클로버 모바일의 실패를 만회하고자 자체 개발 IP인 브레이커스: 언락 더 월드 개발에 박차를 가하고 있다. 블랙 클로버 모바일의 실패를 반면교사로 삼기 위해 위해 일본에 지사를 세우는 등 개발자와 유저의 소통 강화에 매진하는 모습을 보이고 있다.2024년 KADOKAWA에게 브레이커스: 언락 더 월드 200억 원 투자 유치에 성공했다.
54,Battle for Dream Island/기타 미참가자,BFDI/캐릭터,미국 애니메이션 Battle for Dream Island의 등장 캐릭터들
55,스톰(마블 코믹스),스톰(마블 코믹스),"마블 코믹스 엑스맨 시리즈의 등장인물. 본명은 오로로 먼로. 미국 코믹스 사상 최초의 흑인 여성 슈퍼히어로이기도 하다.엑스맨에서의 위치는 대략 사이클롭스와 비슷한 리더격. 블랙팬서와 결혼했으며, 원래 아프리카에서 도둑질을 하면서 살았다는 점을 볼 때 거의 현대판 신데렐라나 인생의 승리자에 가깝다. 갬빗과도 가까운 사이. 또한 마성의 남자 울버린과도 서로 사랑하여 사귀기도 했었기에 영화판에서도 울버린과 미묘한 감정 관계를 보이기도 한다.[1] 참고로 영화판에서는 아직 미혼이다.원래는 장발의 헤어스타일이지만 영화의 영향 때문인지 최근엔 단발머리로도 많이 그려지고 있다. 코믹북 데이터베이스이자 위키인 코믹바인이 꼽은 최고의 히어로 100명중 1위를 했다(슈퍼맨이 2위).이름의 뜻은 스와힐리어로 아름다움, 부드러운."
56,스타십 통합 비행 시험 1,나무위키 천문학 프로젝트항공 우주,스페이스X 스타십 통합 비행 테스트 1 (IFT-1)은 스페이스X 스타십 발사체의 첫 번째 통합 비행 테스트이다.
57,정구현,한국 여배우대한민국의 영화 배우대한민국의 여성 유튜버서울특별시 출신 인물단국대학교 출신,대한민국의 배우.
58,군웅할거(삼국지 시리즈),삼국지 시리즈/용어,"코에이 테크모의 삼국지 시리즈에 등장하는 시나리오로 유명한 고사성어인 군웅할거에서 이름을 땄다.반동탁연합, 영웅집결과 더불어 매우 인기가 높은 시나리오다. 가상 시나리오인 영웅집결에 버금갈만큼 웬만한 네임드 군주들이나 장수들을 다 볼 수 있고, 특정 거대세력 없이 대부분의 세력이 영토의 크기가 1~2개만 가지고 있는 고만고만한 상태에서 시작하는데다 세력마다 특색이 뚜렷하게 드러나기 때문에 초보자~고수까지 인기가 높은 시나리오 중 하나다. 거의 삼국지 시리즈의 그랜드 캠페인이라 할 수 있는 지위를 가진 시나리오."
59,신성 로마 제국,신성 로마 제국,"962년부터 1806년까지 서유럽과 중유럽에 존속했던 제국.한때 카롤루스 대제에 의해 프랑크 왕국에 복속되었었던 게르마니아의 튜튼 부족들과 라인-도나우 유역의 옛 로마인들이 카롤링거 왕조의 영토 분할 상속과 후계 단절로 인한 정치적 혼란을 틈타 프랑크족의 정치적 영향력으로부터 분리되어 결성한 국가다. 많은 영토의 변동을 겪었지만 오늘날 중부 유럽으로 분류되는 지역의 서쪽 대부분(독일-오스트리아)만큼은 계속해서 영토로 유지하며 962년부터 1806년까지 존속했다.[9]아예 완전히 새로 건국된 국가였던 것은 아니다. 동프랑크 왕국에서 카롤링거 왕조의 후사가 완전히 끊기고 튜튼인에게 왕위가 넘어가면서 부족 공국 기반의 튜튼 왕국이 결성되었고 그 튜튼 왕국에 튜튼인들이 정복한 옛 로마 제국의 북방 도시권이 결합하면서 최종적으로 튜튼인의 왕을 겸하는 로마인의 왕이 로마의 이름으로 보편 제국의 황제로서 군림하는 '재건 로마제국'이 선포된 것이다.이후 튜튼인과 북방 로마인은 상호동화를 통해 독일인이 되었는데 이탈리아, 프로방스, 플랑드르, 보헤미아, 프러시아 등의 외부 제국 영토의 획득이나 상실로 인한 구성민족의 세부 변화나 드라마틱했던 대외영향력 및 황제권의 흥망성쇠와 별개로, 꾸준히 정치적 주도권을 행사하는 것은 결국 독일인들이었으므로, 서프랑크 왕국을 그대로 계승한 프랑스와 명백히 정체성이 분리되는 국가 독일의 전신이자 역사적 독일의 시작으로 간주된다.[10]지금이야 '신성하지도 않고 로마도 아니며 제국도 아니다'라는 볼테르의 조롱만이 너무 유명해졌지만 당시에는 고대 로마 제국의 뒤를 이은 정통 보편 제국이라는 인식을 갖고 있었다.[11] 당시에는 '제국의 계승(Translatio imperii)'이라고 해서 기존의 제국이 쇠락하면 새로운 제국이 등장해 그 대를 잇는다는 사상이 있었다. 로마 제국이 몰락하고 들어선 새로운 제국으로 여겨졌던 것이다. 황제의 서열은 가톨릭 세계의 모든 국왕들보다 높았고 그 권위는 무시하기 어려웠다.[12]"
60,빅게임스튜디오,한국의 게임 제작사2020년 설립,홈페이지2020년에 설립된 한국의 게임 제작사로 일곱 개의 대죄: GRAND CROSS를 개발했던 최재영 대표와 핵심 개발 멤버들이 창립한 회사이다. 서울특별시 강남구 역삼동에 위치하고 있다.고퀄리티의 재패니메이션 스타일의 3D 애니메이션 기술력과 스토리텔링을 내세우고 있으며 설립 초기부터 그 기술력을 인정받아 펄어비스에게 30억 투자 유치를 받기도 했다. 다만 블랙 클로버 모바일의 매출은 부진한 상황.블랙 클로버 모바일의 실패를 만회하고자 자체 개발 IP인 브레이커스: 언락 더 월드 개발에 박차를 가하고 있다. 블랙 클로버 모바일의 실패를 반면교사로 삼기 위해 위해 일본에 지사를 세우는 등 개발자와 유저의 소통 강화에 매진하는 모습을 보이고 있다.2024년 KADOKAWA에게 브레이커스: 언락 더 월드 200억 원 투자 유치에 성공했다.
61,이윤영(배우),한국 남배우한국의 뮤지컬 배우뮤지컬 남배우대한민국의 무용가발레리노상명대학교 출신1997년 출생2023년 데뷔,대한민국의 뮤지컬 배우 겸 발레 무용가.
62,열차(유희왕),유희왕/OCG/카드군/지정되지 않는 경우유희왕/OCG/기계족유희왕/OCG/엑시즈 소환유희왕/OCG/링크 소환,"철도와 철도를 달리는 열차, 그리고 열차포를 모티브로 한 유희왕의 카드 시리즈로, 원작 사용자는 코즈키 안나, 코즈키 알렌. Dragons of Legend를 시작으로 게임 동봉, 팩, 한정 카드 등의 방법을 통해 조금씩 오리지널 카드나 애니메이션 카드의 OCG화가 이뤄졌다.본래는 모티브만 같은 곳에서 가져왔고 땅 속성/기계족이란 점만 같고 레벨은 제각각이라 서로 받을 수 있는 시너지 효과가 없었기에 정룡 등과 달리 함께 쓰기 애매했다. 하지만 더 시크릿 오브 에볼루션에서 다양한 지원 카드가 나오고 대폭 강화되어 몇 개를 제외하고는 한데 모아 굴릴 수 있으며 발매 이후 적지만 꾸준한 대회 우승 기록을 세웠다.알게 모르게 코나미의 푸시를 받는 카드군이기도 하다. 안나는 듀얼 횟수가 그리 많지 않은 조연 캐릭터임에도 사용한 카드 대부분이 OCG화됐고, 월드 프리미어 카드를 시작으로 링크 브레인즈 팩 등에서 지속적인 지원을 받았다. 거기다 히로인인 미즈키 코토리가 듀얼 쪽으로는 연이 적기 때문인지 레전드 듀얼리스트 팩 4에서도 제알 시리즈 대표로 참전했다.카드의 이름이 제각각이라 카드군으로서 뭐라 불러야 하는지 난감할 수 있으나, 링크 브레인즈 팩에서 지원을 받을 때 CM에서 공식적으로 '열차(列車)'라고 언급되었다.주 전략은 강력한 랭크 10 엑시즈 소환을 이어가며 고타점을 통한 필드 제압, 제거 및 번으로 상대를 압박하는 것. 덱의 회전 및 전개를 맡는 주요 카드의 수가 적어서 다른 용병 카드군과 함께 쓰기 쉽다. 사용하기도 쉬우면서 키 카드들도 몸값이 싼 게 많아서 초보자들에게 많이 추천되는 덱 중 하나이다.한국판 공식 홈페이지 덱 분류에서는 '기차' 덱으로 번역되었으나, 정작 카드명 번역은 원판을 따라 '열차'이기에 국내에서는 해당 명칭이 더 통용되며, 나무위키에서를 이를 반영해 문서명을 열차로 표기한다."
63,7080세대,세대,"대한민국의 1970~80년대에 20~30대를 보낸 세대다. 출생년도를 매우 넓게 보면 MZ세대보다도 넓은 1931년[1]~1970년생[2]이나 보통 1941년생 이후를 부르는 편이라 현재 60~70대가 이 세대의 주류이며 군부 독재의 암울한 정치 상황 아래에서도 낭만을 찾던 세대라고 할 수 있다. 전반적으로 X세대[3]와 86세대보다 앞세대이며, 군사정권에 대한 향수가 강하기에 보수정당 지지율이 매우 높은 세대이다. 보통 1940년대 중반~1960년대 초반에 태어난 노년층을 칭하며 특히 1950년생은 이 시기에 정확히 2030대로 7080세대다.상징적인 단어들은 다방, 경양식, DJ, 팝송, 포크송, 통기타, 장발, 맥주, 미니스커트, 대학 휴교 등인데 여기에서 잘 알 수 있듯이 대부분 유신세대의 정책과 관련이 깊다.대부분은 산업화 세대와 유신 세대들이나 콘서트 7080이 방영될 때 86세대들도 자신들의 10대 20대들의 우상들에게 호응을 보이기도 했다. 이들은 이제 노년이 되었거나 접어들고 있다.세월이 많이 흐르면서 1970~80년대에 태어난 사람들도 모두 장년에 속할 나이대에 이르자 7080의 뜻이 와전되어 이들을 7080세대로 잘못 일컫는 경우도 있으나, 당사자들은 서태지와 아이들 이후 7080세대의 기성 문화를 부정하고 새로운 문화를 추구하던 세대라 이러한 잘못된 단어 사용을 매우 불쾌하게 여긴다.[4]한국 대중음악 역사에서 7080은 1964년 신중현이 한국 최초의 락 음악인 ""빗속의 여인""을 발표하고, 1968년 한대수가 세시봉에서 포크 음악을 시작하면서 일제강점기 이후 정통 트로트 일색이었던 한국 가요계에 락, 포크 등 서구적인 요소가 들어오지만 트로트의 영향에서 벗어나지 못하고 전통가요적인 부분이 남아있었던 1992년 서태지와 아이들 데뷔 이전까지를 의미한다.일본 대중음악에서도 7080과 비슷한 뉘앙스의 가요쿄쿠(歌謠曲,かようきょく) 라는 단어가 있어 1980년대까지 엔카의 영향에서 완전히 벗어나지는 않은 일본 대중음악을 통틀어 가리키는 뜻으로 쓰인다.2020~40년대에는 이들의 나이가 70~80대에 이르면서 다른 의미에서도 7080이라는 단어가 맞아떨어지게 된다."
64,퀴어신학,기독교신학젠더학성소수자,"이단이자 자유주의 신학이다. 상황신학, 해방신학의 영향을 받아 태동한 여성신학, 흑인신학, 제3세계신학에 이어 시작된 신학운동이다. 성서해석학을 바탕으로 기본적으로 성소수자들의 실존적 관점에서 성서를 바라보고 해석하며 퀴어이론 등을 적용하기도 한다. 보수 근본주의 색채가 짙은 한국 기독교계에서는  터부시 되고 있다.  기독교와 성소수자와 관련해서 언급되는 신학이다. 성경에 권위를 두지 않고 신성모독을 일삼는다.미국성공회, 미국장로회(PCUSA), 북유럽 루터교회와 같은 서구권 진보교단에서는 동성결혼 허용 등의 형태로 어느정도 수용된 편이다. 반면에 가톨릭을 비롯한 보수 교파ㆍ교단에서는 배격된다."
65,이유(EVERGLOW),EVERGLOW한국 여가수한국의 여성 래퍼대한민국의 작사가대한민국의 여성 댄서1998년 출생2019년 데뷔하남시 출신 인물아이돌 래퍼아이돌 댄서요리조리 맛있는 수업/역대 진행자,Especially for U! 여러분들을 위해 존재하는 특별한 이유입니다!위에화엔터테인먼트 소속 6인조 걸그룹 EVERGLOW의 멤버. 예명인 이유는 ‘여러분을 위해 존재하는 특별한 이유(Especially for U)’라는 뜻이다.
66,맥라렌 포뮬러 1 팀,맥라렌 포뮬러 1 팀,"NEVER GIVE UP맥라렌(영어: McLaren 매클러렌)은 영국 서리 주 워킹[4]에 근거지를 두고 있는 포뮬러 원 팀으로, 스쿠데리아 페라리에 이어서 현재 포뮬러 원에서 두번째로 오래된 팀이다. 1963년, 뉴질랜드의 포뮬러 1 드라이버 브루스 맥라렌(Bruce mclaren)에 의해 팀이 설립된 후, 1966년 모나코 GP부터 F1에 참가하기 시작하여 1968년 벨기에 GP에서 팀 창단 이후 첫번째 우승을 거둔 뒤 현재까지 175회의 그랑프리 우승과 12번의 드라이버 챔피언십 우승, 8회의 컨스트럭터 챔피언십 우승을 거둔 전적이 있다.또한, 한때 페라리와 더불어 2010년부터 2013년까지 포브스에서 매년 발표하는 세계에서 가장 가치 있는 50개 스포츠팀에 4년동안 등재된 적이 있다.[5]2021 시즌을 앞두고 카를로스 사인츠 주니어가 스쿠데리아 페라리로 이적함에 따라 생긴 빈자리를 르노 F1 팀의 다니엘 리카도로 대체했다. 다니엘은 2019년부터 맥라렌과 함께 했던 랜도 노리스와 팀메이트로 2022년의 MCL36으로 주행하고 챔피언십에서 경쟁하였으나 2022 시즌을 마지막으로 계약 해지, 다니엘 리카도의 시트는 르노 아카데미 출신의 오스카 피아스트리가 대체한다."
67,잔나비,잔나비,"최정훈 · 김도형오늘밤 우리는 내일 부를 노랠 짓네힙한 거, 쿨한 거 싫어요.[2]그래서 가장 뜨거울 우리들의 여름밤.안녕하세요. 저희는 그룹사운드 잔나비입니다.대한민국의 록 밴드. 1992년생 잔나비띠 최정훈(보컬), 김도형(기타) 로 구성된 2인조 밴드다.[3] 잔나비는 원숭이라는 뜻을 가진 순우리말.[4]"
68,더크로스처치,대한민국의 침례교회,"경기도 성남시 분당구에 위치한 신사도 운동 성향의 침례교회이다강원도 평창, 울산광역시, 부산광역시 등에 지교회를 운영중이며 모두 더크로스처치 라는 이름을 사용하고 있다. 또한 미국 캔자스시티 IHOP 국제 기도의 집(International House of Prayer)의 영향을 받아 KHOP(Korea House Of Prayer) 한국 기도의 집을 운영 하고 있다."
69,빅게임스튜디오,한국의 게임 제작사2020년 설립,홈페이지2020년에 설립된 한국의 게임 제작사로 일곱 개의 대죄: GRAND CROSS를 개발했던 최재영 대표와 핵심 개발 멤버들이 창립한 회사이다. 서울특별시 강남구 역삼동에 위치하고 있다.고퀄리티의 재패니메이션 스타일의 3D 애니메이션 기술력과 스토리텔링을 내세우고 있으며 설립 초기부터 그 기술력을 인정받아 펄어비스에게 30억 투자 유치를 받기도 했다. 다만 블랙 클로버 모바일의 매출은 부진한 상황.블랙 클로버 모바일의 실패를 만회하고자 자체 개발 IP인 브레이커스: 언락 더 월드 개발에 박차를 가하고 있다. 블랙 클로버 모바일의 실패를 반면교사로 삼기 위해 위해 일본에 지사를 세우는 등 개발자와 유저의 소통 강화에 매진하는 모습을 보이고 있다.2024년 KADOKAWA에게 브레이커스: 언락 더 월드 200억 원 투자 유치에 성공했다.
70,Journey to Center of Hawkthorne,플랫폼 게임커뮤니티(미국 드라마),커뮤니티(미국 드라마)의 에피소드 중하나인 디지털 재산 계획(시즌 3 20화)에서 나왔던 픽셀게임인 Journey to Center of Hawkthorne을 커뮤니티 팬들이 '정말로 저 게임을 만들어보자!' 라는 의도로 만들어 가는중인 게임이다.에피소드가 방영된지 얼마나 지나지 않아 레딧에 페이지가 생겼다. 운영자 몇명이서 게임을 만드는게 아니라 위키형식으로 유저들이 모션을 만들어서 올리면 그 모션을 게임에 추가하여 확장해가는 방식으로 계속해서 컨텐츠가 확장중이다.
71,파란색/이미지,이미지 컬러,파란색과 관련된 이미지들을 정리하는 문서.
72,ARM Cortex-A 시리즈,ARM/마이크로아키텍처,"2005년부터 Arm 사에서 라이센싱하는 주력 마이크로아키텍처 IP이다.초기에는 고성능을 위한 단일 라인업으로써 이어졌다가, 2009년 Cortex-A5를 기점으로 고성능/고효율이라는 2단계 라인업으로 개편되었고, 2011년 Cortex-A7과 함께 발표된 ARM big.LITTLE 솔루션이 도입되면서 하나의 SoC에 이 기종 CPU 코어 구성이 가능해졌다.2015년을 기점으로 고성능/중간급/고효율 이라는 3단계 라인업으로 구성이 정리된 상황.[1] 이는 일반적으로 언급되는 하이엔드-미들레인지-엔트리 또는 로우엔드 개념으로 봐도 무방하다. 2017년 상반기 기준 고성능엔 Cortex-A73, 중간급엔 Cortex-A53, 고효율엔 Cortex-A35가 대표격인 아키텍처들이다.그러나 2020년에 더 높은 성능을 요구함에 따라 ARM Cortex-X 시리즈가 신설되면서, 2021년부터 고성능은 Cortex-X1, 중간급은 Cortex-A78, 고효율은 Cortex-A55로 정리되었고, ARMv9-A의 발표 이후에도 넘버링만 바뀌었을 뿐 그대로 존속되고 있다.Cortex-A 시리즈에 적용된 명령어셋은 ARMv7-A 부터이며, 이전 세대의 ARMv6 명령어셋 아키텍처는 ARM11 계열까지 적용되었다.2013년에 ARMv7-A의 후속 명령어셋인 ARMv8-A이 공개되었으며 가장 큰 특징은 ARMv8-A 안에 AArch32와 AArch64라는 두 가지 서브 명령어셋이 도입되면서 AArch64를 통해 64비트 구조를 쓸 수 있게 된 점이다. 이후 대부분의 신형 Cortex-A 시리즈와 커스텀 아키텍처들은 ARMv8-A에 기반하여 활발하게 개발되고 있다.2017년에는 엔트리급 ARMv7-A 기반 Cortex-A7도 64비트 ARMv8-A 기반 Cortex-A35에 바통을 넘겨주고 있어서 PC처럼 32비트 시대는 2~3년 내로 사장되고 있다. 2021년에 ARMv9-A가 발표되면서 32비트 하위 호환성을 버리고 완전한 64비트 시대 전환을 앞두고 있다."
73,멜버른 레벨스,멜버른 레벨스,"슈퍼 럭비 퍼시픽 소속 럭비팀. 빅토리아주의 대표팀이다. 후발주자인데다 럭비 리그가 대세인 호주의 구단 중에서도 특히 약체라, 창단 이후 코로나19 시기 이외엔 10위 밑으로만 했다. 승률도 3할 초반으로 매우 저조하다.내셔널 럭비 챔피언십에 참가했던 멜버른 레벨스[1]와는 프랜차이즈가는 같지만 다른 팀이다.2024시즌 개막 전 재정 악화로 법정관리에 들어갔다. 다만 구단 측은 시즌 참가를 호언하고 있는 상황. 3월이 되기 전 결론이 나지 않으면 호주의 프로 구단은 4개로 줄어들고 만다. 한때 투자자를 찾고 기사회생할 수 있다는 희망적인 소식도 있었으나, 재정 문제로 2024년을 끝으로 활동을 중지한다고 공식 선언했다."
74,유벤투스 FC/2019-20 시즌,유벤투스 FC/2019-20 시즌,세리에 A 소속 구단 유벤투스 FC의 2019-20 시즌에 대한 문서. 날짜 기준은 대한민국 표준시(UTC+9)이며[4] 기본 화폐 단위는 €(유로).
75,시가전,시가전,市街戰 / Urban warfare시가전이란 건물이 밀집되어 있는 도시(시가지)에서 벌어지는 전투를 뜻하는 말이다.
76,가이우스 율리우스 카밀리우스 아스페르,로마 제국 집정관3세기 집정관,"로마제국 네르바-안토니누스 왕조와 세베루스 왕조 시대의 원로원 의원, 집정관. 카라칼라에게 누명을 쓰고, 아버지와 함께 불명예 추방됐다가 복귀했다."
77,윌리 아다메스,"도미니카 공화국의 야구 선수1995년 출생2018년 데뷔산티아고(도미니카) 출신 인물내야수우투우타탬파베이 레이스/은퇴, 이적밀워키 브루어스/현역도미니카 공화국의 월드 베이스볼 클래식 참가 선수2023 월드 베이스볼 클래식 참가 선수",밀워키 브루어스 소속 내야수.
78,갤주/사례,디시인사이드,갤러리의 이름에 특정인의 이름이 있는 경우는 그 사람이 갤주인 것이 당연하므로 제시하지 않는다. 단 몇몇 아닌 예시도 있다. 아래의 예시들은 과거엔 갤주로 인정받았는데 시간이 흐르며 바뀌었거나 완전 퇴출까진 아닌데 애매해진 경우도 있다.
79,Journey to Center of Hawkthorne,플랫폼 게임커뮤니티(미국 드라마),커뮤니티(미국 드라마)의 에피소드 중하나인 디지털 재산 계획(시즌 3 20화)에서 나왔던 픽셀게임인 Journey to Center of Hawkthorne을 커뮤니티 팬들이 '정말로 저 게임을 만들어보자!' 라는 의도로 만들어 가는중인 게임이다.에피소드가 방영된지 얼마나 지나지 않아 레딧에 페이지가 생겼다. 운영자 몇명이서 게임을 만드는게 아니라 위키형식으로 유저들이 모션을 만들어서 올리면 그 모션을 게임에 추가하여 확장해가는 방식으로 계속해서 컨텐츠가 확장중이다.
80,바이오하자드 RE:4/무기 및 장비,바이오하자드 시리즈/무기,DLC를 포함한 모든 무기 소개 영상바이오하자드 RE:4에 등장하는 무기를 정리한 문서. 
81,요나단 페라자,베네수엘라의 야구 선수외국인 선수(야구)1998년 출생2024년 데뷔메리다 주 출신 인물외야수우투양타스위치 히터한화 이글스/현역,한화 이글스 소속 외야수.
82,법제사법위원회,대한민국 국회 상임위원회 및 특별위원회,국회법 제37조(상임위원회와 그 소관)① 상임위원회의 종류와 소관 사항은 다음과 같다.2. 법제사법위원회가. 법무부 소관에 속하는 사항나. 법제처 소관에 속하는 사항다. 감사원 소관에 속하는 사항라. 고위공직자범죄수사처 소관에 속하는 사항마. 헌법재판소 사무에 관한 사항바. 법원·군사법원의 사법행정에 관한 사항사. 탄핵소추에 관한 사항아. 법률안·국회규칙안의 체계·형식과 자구의 심사에 관한 사항대한민국 국회의 상임위원회. 약칭은 법사위이다.
